"KeyYear-Gender","NOME","TOTAL"
"2017-F-0190","Leticia","14"
"2017-F-0191","Nina","14"
"2017-F-0192","Aisha","14"
"2017-F-0193","Kayla","14"
"2017-F-0194","Andrea","14"
"2017-F-0195","Aléxia","14"
"2017-F-0196","Priscila","14"
"2017-F-0197","Evelyn","14"
"2017-F-0198","Vânia","14"
"2017-F-0199","Emilly","13"
"2017-F-0200","Jasmine","13"
"2017-F-0201","Ariane","13"
"2017-F-0202","Tamára","13"
"2017-F-0203","Liana","13"
"2017-F-0204","Elena","13"
"2017-F-0205","Ariele","13"
"2017-F-0206","Giovanna","13"
"2017-F-0207","Lea","13"
"2017-F-0208","Abigail","13"
"2017-F-0209","Ísis","13"
"2017-F-0210","Cecília","13"
"2017-F-0211","Milena","12"
"2017-F-0212","Márcia","12"
"2017-F-0213","Amália","12"
"2017-F-0214","Manuela","12"
"2017-F-0215","Marina","12"
"2017-F-0216","Ionara","12"
"2017-F-0217","Maya","12"
"2017-F-0218","Glória","12"
"2017-F-0219","Erika","11"
"2017-F-0220","Samanta","11"
"2017-F-0221","Lívia","11"
"2017-F-0222","Ellen","11"
"2017-F-0223","Solange","11"
"2017-F-0224","Milana","11"
"2017-F-0225","Simara","11"
"2017-F-0226","Naomi","11"
"2017-F-0227","Antónia","11"
"2017-F-0228","Angelina","11"
"2017-F-0229","Vanessa","11"
"2017-F-0230","Amanda","11"
"2017-F-0231","Zara","11"
"2017-F-0232","Taís","11"
"2017-F-0233","Riana","11"
"2017-F-0234","Angélica","10"
"2017-F-0235","Chloé","10"
"2017-F-0236","Natália","10"
"2017-F-0237","Carmen","10"
"2017-F-0238","Martina","10"
"2017-F-0239","Eunice","10"
"2017-F-0240","Michelle","10"
"2017-F-0241","Denise","10"
"2017-F-0242","Ciara","10"
"2017-F-0243","Cloé","10"
"2017-F-0244","Dayane","10"
"2017-F-0245","Esther","10"
"2017-F-0246","Pérola","10"
"2017-F-0247","Clarinha","10"
"2017-F-0248","Joice","10"
"2017-F-0249","Isadora","10"
"2017-F-0250","Brenda","10"
"2017-F-0251","Tânia","10"
"2017-F-0252","Jennifer","10"
"2017-F-0253","Sónia","10"
"2017-F-0254","Esperança","10"
"2017-F-0255","Stephanie","9"
"2017-F-0256","Ashley","9"
"2017-F-0257","Surya","9"
"2017-F-0258","Oceana","9"
"2017-F-0259","Sílvia","9"
"2017-F-0260","Mathilde","9"
"2017-F-0261","Suri","9"
"2017-F-0262","Anamar","9"
"2017-F-0263","Matilda","9"
"2017-F-0264","Cloe","9"
"2017-F-0265","Lídia","9"
"2017-F-0266","Aylla","9"
"2017-F-0267","Sabrina","9"
"2017-F-0268","Rayssa","9"
"2017-F-0269","Fernanda","8"
"2017-F-0270","Elisabete","8"
"2017-F-0271","Daisi","8"
"2017-F-0272","Geovanna","8"
"2017-F-0273","Iasmin","8"
"2017-F-0274","Anaísa","8"
"2017-F-0275","Marisol","8"
"2017-F-0276","Jénifer","8"
"2017-F-0277","Lunna","8"
"2017-F-0278","Lisa","8"
"2017-F-0279","Alexia","8"
"2017-F-0280","Luzia","8"
"2017-F-0281","Eleonor","8"
"2017-F-0282","Mila","8"
"2017-F-0283","Mayra","8"
"2017-F-0284","Mariama","8"
"2017-F-0285","Ariela","8"
"2017-F-0286","Leandra","8"
"2017-F-0287","Gabriella","8"
"2017-F-0288","Nídia","8"
"2017-F-0289","Isaura","8"
"2017-F-0290","Taísa","8"
"2017-F-0291","Samaritana","8"
"2017-F-0292","Karen","8"
"2017-F-0293","Anaya","8"
"2017-F-0294","Graça","8"
"2017-F-0295","Morgana","8"
"2017-F-0296","Camilla","8"
"2017-F-0297","Sienna","8"
"2017-F-0298","Nayla","8"
"2017-F-0299","Maura","7"
"2017-F-0300","Yohanna","7"
"2017-F-0301","Zoé","7"
"2017-F-0302","Maia","7"
"2017-F-0303","Edna","7"
"2017-F-0304","Giulia","7"
"2017-F-0305","Sol","7"
"2017-F-0306","Angela","7"
"2017-F-0307","Viviane","7"
"2017-F-0308","Deise","7"
"2017-F-0309","Carol","7"
"2017-F-0310","Vanda","7"
"2017-F-0311","Nara","7"
"2017-F-0312","Anastasia","7"
"2017-F-0313","Jussara","7"
"2017-F-0314","Charlotte","7"
"2017-F-0315","Taíssa","7"
"2017-F-0316","Thaís","7"
"2017-F-0317","Melinda","7"
"2017-F-0318","Silvana","7"
"2017-F-0319","Yasmim","7"
"2017-F-0320","Jessica","7"
"2017-F-0321","Ivone","7"
"2017-F-0322","Alexa","7"
"2017-F-0323","Guadalupe","7"
"2017-F-0324","Keyla","7"
"2017-F-0325","Miranda","7"
"2017-F-0326","Cármen","7"
"2017-F-0327","Lucy","7"
"2017-F-0328","Celeste","7"
"2017-F-0329","Filomena","6"
"2017-F-0330","Nadine","6"
"2017-F-0331","Eloá","6"
"2017-F-0332","Raíssa","6"
"2017-F-0333","Adelina","6"
"2017-F-0334","Aysha","6"
"2017-F-0335","Hannah","6"
"2017-F-0336","Mercês","6"
"2017-F-0337","Naísa","6"
"2017-F-0338","Leah","6"
"2017-F-0339","Leia","6"
"2017-F-0340","Dália","6"
"2017-F-0341","Karina","6"
"2017-F-0342","Kaylane","6"
"2017-F-0343","Arina","6"
"2017-F-0344","Doriana","6"
"2017-F-0345","Josiane","6"
"2017-F-0346","Regina","6"
"2017-F-0347","Melânia","6"
"2017-F-0348","Anaís","6"
"2017-F-0349","Ariel","6"
"2017-F-0350","Laís","6"
"2017-F-0351","Hadassa","6"
"2017-F-0352","Sophie","6"
"2017-F-0353","Esmeralda","6"
"2017-F-0354","Lisandra","6"
"2017-F-0355","Suéli","6"
"2017-F-0356","Leila","6"
"2017-F-0357","Naíma","6"
"2017-F-0358","Irene","6"
"2017-F-0359","Antonella","6"
"2017-F-0360","Maitê","6"
"2017-F-0361","Lis","6"
"2017-F-0362","Magda","6"
"2017-F-0363","Lais","6"
"2017-F-0364","Stella","6"
"2017-F-0365","Mel","6"
"2017-F-0366","Estela","5"
"2017-F-0367","Adelaide","5"
"2017-F-0368","Dayanne","5"
"2017-F-0369","Allana","5"
"2017-F-0370","Maira","5"
"2017-F-0371","Dora","5"
"2017-F-0372","Stefany","5"
"2017-F-0373","Radija","5"
"2017-F-0374","Aliyah","5"
"2017-F-0375","Gabrielly","5"
"2017-F-0376","Livia","5"
"2017-F-0377","Lyana","5"
"2017-F-0378","Wendy","5"
"2017-F-0379","Stela","5"
"2017-F-0380","Julia","5"
"2017-F-0381","Ilda","5"
"2017-F-0382","Annie","5"
"2017-F-0383","Janice","5"
"2017-F-0384","Ivana","5"
"2017-F-0385","Cataleya","5"
"2017-F-0386","Noah","5"
"2017-F-0387","Liz","5"
"2017-F-0388","Fatima","5"
"2017-F-0389","Lua","5"
"2017-F-0390","Fatumata","5"
"2017-F-0391","Sarai","5"
"2017-F-0392","Ainhoa","5"
"2017-F-0393","Alina","5"
"2017-F-0394","Cristiane","5"
"2017-F-0395","Amora","5"
"2017-F-0396","Branca","5"
"2017-F-0397","Anastácia","5"
"2017-F-0398","Concha","5"
"2017-F-0399","Eloah","5"
"2017-F-0400","Rayane","5"
"2017-F-0401","Talita","5"
"2017-F-0402","Zoe","5"
"2017-F-0403","Keila","5"
"2017-F-0404","Teresinha","5"
"2017-F-0405","Gisela","5"
"2017-F-0406","Anabela","5"
"2017-F-0407","Dádiva","5"
"2017-F-0408","Amelia","4"
"2017-F-0409","Ada","4"
"2017-F-0410","Joelma","4"
"2017-F-0411","Mya","4"
"2017-F-0412","Noémia","4"
"2017-F-0413","Mercedes","4"
"2017-F-0414","Nicolly","4"
"2017-F-0415","Jeanne","4"
"2017-F-0416","Dina","4"
"2017-F-0417","Viviana","4"
"2017-F-0418","Marília","4"
"2017-F-0419","Anya","4"
"2017-F-0420","Fatoumata","4"
"2017-F-0421","Lígia","4"
"2017-F-0422","Gaia","4"
"2017-F-0423","Mirella","4"
"2017-F-0424","Adrielle","4"
"2017-F-0425","Clarice","4"
"2017-F-0426","Kylie","4"
"2017-F-0427","Eliza","4"
"2017-F-0428","Nancy","4"
"2017-F-0429","Vitoria","4"
"2017-F-0430","Nuna","4"
"2017-F-0431","Yolanda","4"
"2017-F-0432","Tiffany","4"
"2017-F-0433","Fábia","4"
"2017-F-0434","Francesca","4"
"2017-F-0435","Alycia","4"
"2017-F-0436","Aaliyah","4"
"2017-F-0437","Lina","4"
"2017-F-0438","Laila","4"
"2017-F-0439","Aya","4"
"2017-F-0440","Amy","4"
"2017-F-0441","Daisy","4"
"2017-F-0442","Kataleya","4"
"2017-F-0443","Natali","4"
"2017-F-0444","Elaine","4"
"2017-F-0445","Antonela","4"
"2017-F-0446","Samantha","4"
"2017-F-0447","Katie","4"
"2017-F-0448","Aria","4"
"2017-F-0449","Séfora","4"
"2017-F-0450","Lyara","4"
"2017-F-0451","Daiane","4"
"2017-F-0452","Hanna","4"
"2017-F-0453","Lurdes","4"
"2017-F-0454","Thais","4"
"2017-F-0455","Patricia","4"
"2017-F-0456","Janaína","4"
"2017-F-0457","Lana","4"
"2017-F-0458","Ruth","4"
"2017-F-0459","Noemi","4"
"2017-F-0460","Flora","4"
"2017-F-0461","Siena","4"
"2017-F-0462","Kailane","4"
"2017-F-0463","Cleo","4"
"2017-F-0464","Selena","4"
"2017-F-0465","Grace","4"
"2017-F-0466","Savannah","4"
"2017-F-0467","Adriela","4"
"2017-F-0468","Klara","4"
"2017-F-0469","Marwa","4"
"2017-F-0470","Sanaya","4"
"2017-F-0471","Lavínia","4"
"2017-F-0472","Kendra","4"
"2017-F-0473","Yangchen","4"
"2017-F-0474","Jasmin","4"
"2017-F-0475","Lília","4"
"2017-F-0476","Haniela","4"
"2017-F-0477","Adélia","4"
"2017-F-0478","Alyssa","4"
"2017-F-0479","Marlene","4"
"2017-F-0480","Tiana","4"
"2017-F-0481","Aleksandra","4"
"2017-F-0482","Alba","4"
"2017-F-0483","Flavia","3"
"2017-F-0484","Daria","3"
"2017-F-0485","Sasha","3"
"2017-F-0486","Eline","3"
"2017-F-0487","Adrielly","3"
"2017-F-0488","Nikol","3"
"2017-F-0489","Agatha","3"
"2017-F-0490","Cinara","3"
"2017-F-0491","Adele","3"
"2017-F-0492","Margot","3"
"2017-F-0493","Darina","3"
"2017-F-0494","Dária","3"
"2017-F-0495","Noémi","3"
"2017-F-0496","Rúbia","3"
"2017-F-0497","Melina","3"
"2017-F-0498","Emanuela","3"
"2017-F-0499","Léa","3"
"2017-F-0500","Liah","3"
"2017-F-0501","Olga","3"
"2017-F-0502","Myriam","3"
"2017-F-0503","Sofía","3"
"2017-F-0504","Andreína","3"
"2017-F-0505","Niara","3"
"2017-F-0506","Anny","3"
"2017-F-0507","Aura","3"
"2017-F-0508","Margarita","3"
"2017-F-0509","Jannat","3"
"2017-F-0510","Ayra","3"
"2017-F-0511","Sancha","3"
"2017-F-0512","Cassandra","3"
"2017-F-0513","Hellen","3"
"2017-F-0514","Jasmim","3"
"2017-F-0515","Cássia","3"
"2017-F-0516","Malu","3"
"2017-F-0517","Thayla","3"
"2017-F-0518","Rebecca","3"
"2017-F-0519","Celina","3"
"2017-F-0520","Saanvi","3"
"2017-F-0521","Andresa","3"
"2017-F-0522","Siara","3"
"2017-F-0523","Rayana","3"
"2017-F-0524","Jani","3"
"2017-F-0525","Layara","3"
"2017-F-0526","Anastacia","3"
"2017-F-0527","Aida","3"
"2017-F-0528","Leonilde","3"
"2017-F-0529","Jacira","3"
"2017-F-0530","Isabelly","3"
"2017-F-0531","Dulce","3"
"2017-F-0532","Nicolle","3"
"2017-F-0533","Emanuelly","3"
"2017-F-0534","Ruby","3"
"2017-F-0535","Mariah","3"
"2017-F-0536","Sheila","3"
"2017-F-0537","Judite","3"
"2017-F-0538","Bella","3"
"2017-F-0539","Célia","3"
"2017-F-0540","Bela","3"
"2017-F-0541","Iriana","3"
"2017-F-0542","Agnes","3"
"2017-F-0543","Milene","3"
"2017-F-0544","Kamila","3"
"2017-F-0545","Antonia","3"
"2017-F-0546","Alma","3"
"2017-F-0547","Zoey","3"
"2017-F-0548","Lueji","3"
"2017-F-0549","Aissatou","3"
"2017-F-0550","Katia","3"
"2017-F-0551","Linda","3"
"2017-F-0552","Zlata","3"
"2017-F-0553","Nadia","3"
"2017-F-0554","Emiliana","3"
"2017-F-0555","Mária","3"
"2017-F-0556","Zahra","3"
"2017-F-0557","Elise","3"
"2017-F-0558","Emilie","3"
"2017-F-0559","Taynara","3"
"2017-F-0560","Kemilly","3"
"2017-F-0561","Raisa","3"
"2017-F-0562","kyara","3"
"2017-F-0563","Ava","3"
"2017-F-0564","Viktoria","3"
"2017-F-0565","Anouk","3"
"2017-F-0566","Ânia","3"
"2017-F-0567","Aliana","3"
"2017-F-0568","Laurinda","3"
"2017-F-0569","Lyah","3"
"2017-F-0570","Adama","3"
"2017-F-0571","Paz","3"
"2017-F-0572","Brianna","3"
"2017-F-0573","Zaya","3"
"2017-F-0574","Guiomar","3"
"2017-F-0575","Joyce","3"
"2017-F-0576","Rayanne","3"
"2017-F-0577","Leonora","3"
"2017-F-0578","Noor","3"
"2017-F-0579","Lynda","3"
"2017-F-0580","Khadija","3"
"2017-F-0581","Cheila","3"
"2017-F-0582","Melody","3"
"2017-F-0583","Rania","3"
"2017-F-0584","Rose","3"
"2017-F-0585","Magali","3"
"2017-F-0586","Saphira","3"
"2017-F-0587","Luiza","3"
"2017-F-0588","Isabelle","3"
"2017-F-0589","Aurea","3"
"2017-F-0590","Catalina","3"
"2017-F-0591","Svetlana","3"
"2017-F-0592","Pureza","3"
"2017-F-0593","Michele","3"
"2017-F-0594","Jasmina","3"
"2017-F-0595","Martinha","3"
"2017-F-0596","Barbara","3"
"2017-F-0597","Thays","3"
"2017-F-0598","Yuna","3"
"2017-F-0599","Noemy","3"
"2017-F-0600","Maimuna","2"
"2017-F-0601","Rafaella","2"
"2017-F-0602","Perla","2"
"2017-F-0603","Natasha","2"
"2017-F-0604","Selina","2"
"2017-F-0605","Carollina","2"
"2017-F-0606","Laryssa","2"
"2017-F-0607","Layla","2"
"2017-F-0608","Lidia","2"
"2017-F-0609","Sofiya","2"
"2017-F-0610","Sanvi","2"
"2017-F-0611","Graciana","2"
"2017-F-0612","Alessia","2"
"2017-F-0613","Naira","2"
"2017-F-0614","Benisha","2"
"2017-F-0615","Suzi","2"
"2017-F-0616","Noelle","2"
"2017-F-0617","Trisha","2"
"2017-F-0618","kelly","2"
"2017-F-0619","Veronica","2"
"2017-F-0620","Kenya","2"
"2017-F-0621","Quézia","2"
"2017-F-0622","Maeve","2"
"2017-F-0623","Lamar","2"
"2017-F-0624","Neiza","2"
"2017-F-0625","Ludmila","2"
"2017-F-0626","Ária","2"
"2017-F-0627","Helen","2"
"2017-F-0628","Anaíce","2"
"2017-F-0629","Quésia","2"
"2017-F-0630","Jana","2"
"2017-F-0631","Debora","2"
"2017-F-0632","Juliette","2"
"2017-F-0633","Lyanna","2"
"2017-F-0634","Sam","2"
"2017-F-0635","Polina","2"
"2017-F-0636","Whitney","2"
"2017-F-0637","Miruna","2"
"2017-F-0638","Lola","2"
"2017-F-0639","Vilma","2"
"2017-F-0640","Kieza","2"
"2017-F-0641","Emely","2"
"2017-F-0642","Drielle","2"
"2017-F-0643","Palmira","2"
"2017-F-0644","Aimee","2"
"2017-F-0645","Hiba","2"
"2017-F-0646","Rosário","2"
"2017-F-0647","Ainoa","2"
"2017-F-0648","Delia","2"
"2017-F-0649","Zahara","2"
"2017-F-0650","Corina","2"
"2017-F-0651","Stefania","2"
"2017-F-0652","Conceição","2"
"2017-F-0653","Dionísia","2"
"2017-F-0654","Ellie","2"
"2017-F-0655","Naya","2"
"2017-F-0656","Mira","2"
"2017-F-0657","Sylvia","2"
"2017-F-0658","Tida","2"
"2017-F-0659","Nélia","2"
"2017-F-0660","Nayomi","2"
"2017-F-0661","Josiana","2"
"2017-F-0662","Alessandra","2"
"2017-F-0663","Deborah","2"
"2017-F-0664","Samragyee","2"
"2017-F-0665","Nazaré","2"
"2017-F-0666","Alya","2"
"2017-F-0667","Ishani","2"
"2017-F-0668","Nabiha","2"
"2017-F-0669","Yumi","2"
"2017-F-0670","Andriana","2"
"2017-F-0671","Arya","2"
"2017-F-0672","Yasmina","2"
"2017-F-0673","Mahira","2"
"2017-F-0674","Assunção","2"
"2017-F-0675","Lillian","2"
"2017-F-0676","Gabrielle","2"
"2017-F-0677","Támara","2"
"2017-F-0678","Moana","2"
"2017-F-0679","Maggie","2"
"2017-F-0680","Jeovana","2"
"2017-F-0681","Evelina","2"
"2017-F-0682","Dana","2"
"2017-F-0683","Drisana","2"
"2017-F-0684","Fiona","2"
"2017-F-0685","Yarine","2"
"2017-F-0686","Berta","2"
"2017-F-0687","Laiane","2"
"2017-F-0688","Ella","2"
"2017-F-0689","Naia","2"
"2017-F-0690","Biana","2"
"2017-F-0691","Alesia","2"
"2017-F-0692","Cataleia","2"
"2017-F-0693","Atena","2"
"2017-F-0694","Miguela","2"
"2017-F-0695","Yi","2"
"2017-F-0696","Élia","2"
"2017-F-0697","Roberta","2"
"2017-F-0698","Myla","2"
"2017-F-0699","Darlene","2"
"2017-F-0700","Gurneet","2"
"2017-F-0701","Zaira","2"
"2017-F-0702","Elany","2"
"2017-F-0703","Valquíria","2"
"2017-F-0704","Laureana","2"
"2017-F-0705","Jasleen","2"
"2017-F-0706","Josefina","2"
"2017-F-0707","Damiana","2"
"2017-F-0708","Reyanshi","2"
"2017-F-0709","Alissa","2"
"2017-F-0710","Nícia","2"
"2017-F-0711","Mía","2"
"2017-F-0712","Mariam","2"
"2017-F-0713","Alinne","2"
"2017-F-0714","Lilian","2"
"2017-F-0715","Déborah","2"
"2017-F-0716","Arfa","2"
"2017-F-0717","Iolanda","2"
"2017-F-0718","Dandara","2"
"2017-F-0719","El","2"
"2017-F-0720","Ayane","2"
"2017-F-0721","Salina","2"
"2017-F-0722","Elina","2"
"2017-F-0723","Tanveer","2"
"2017-F-0724","Lavinia","2"
"2017-F-0725","Melisa","2"
"2017-F-0726","Taciana","2"
"2017-F-0727","Miria","2"
"2017-F-0728","Tyara","2"
"2017-F-0729","Jessie","2"
"2017-F-0730","Diani","2"
"2017-F-0731","Tanishka","2"
"2017-F-0732","Emelly","2"
"2017-F-0733","Ágatha","2"
"2017-F-0734","Dianna","2"
"2017-F-0735","Ainara","2"
"2017-F-0736","Yonnara","2"
"2017-F-0737","Yonara","2"
"2017-F-0738","Khloe","2"
"2017-F-0739","Hana","2"
"2017-F-0740","Thaísa","2"
"2017-F-0741","Tayssa","2"
