"KeyYear-Gender","NOME","TOTAL"
"2017-M-0189","Henry","11"
"2017-M-0190","Cristóvão","10"
"2017-M-0191","Nathan","10"
"2017-M-0192","Rogério","10"
"2017-M-0193","Caleb","10"
"2017-M-0194","Fabrício","10"
"2017-M-0195","Valentino","10"
"2017-M-0196","Noé","10"
"2017-M-0197","Luka","10"
"2017-M-0198","Armando","10"
"2017-M-0199","Stefan","10"
"2017-M-0200","Bartolomeu","10"
"2017-M-0201","Anthony","10"
"2017-M-0202","Adrian","10"
"2017-M-0203","Samir","10"
"2017-M-0204","Ravi","9"
"2017-M-0205","Derick","9"
"2017-M-0206","Ryan","9"
"2017-M-0207","Luciano","9"
"2017-M-0208","Estêvão","9"
"2017-M-0209","Theo","9"
"2017-M-0210","Cristian","9"
"2017-M-0211","Anderson","9"
"2017-M-0212","Davide","9"
"2017-M-0213","Abel","9"
"2017-M-0214","Ezequiel","9"
"2017-M-0215","Nataniel","9"
"2017-M-0216","Lucca","9"
"2017-M-0217","Dominic","9"
"2017-M-0218","Théo","9"
"2017-M-0219","Alexander","8"
"2017-M-0220","Isaías","8"
"2017-M-0221","Lopo","8"
"2017-M-0222","Marcus","8"
"2017-M-0223","Maxim","8"
"2017-M-0224","Iúri","8"
"2017-M-0225","Diniz","8"
"2017-M-0226","Amadeu","8"
"2017-M-0227","Oscar","8"
"2017-M-0228","Haniel","8"
"2017-M-0229","Lázaro","8"
"2017-M-0230","Ulisses","8"
"2017-M-0231","Léo","8"
"2017-M-0232","Alexandru","8"
"2017-M-0233","Raul","8"
"2017-M-0234","Jessé","7"
"2017-M-0235","Max","7"
"2017-M-0236","Steven","7"
"2017-M-0237","Ernesto","7"
"2017-M-0238","Leon","7"
"2017-M-0239","Maurício","7"
"2017-M-0240","Mohammad","7"
"2017-M-0241","Felipe","7"
"2017-M-0242","Kendrick","7"
"2017-M-0243","Filip","7"
"2017-M-0244","Juliano","7"
"2017-M-0245","Angélico","7"
"2017-M-0246","Rubén","7"
"2017-M-0247","Édi","7"
"2017-M-0248","Enrique","7"
"2017-M-0249","Lourenzo","6"
"2017-M-0250","Damien","6"
"2017-M-0251","Osvaldo","6"
"2017-M-0252","Aléxis","6"
"2017-M-0253","Zion","6"
"2017-M-0254","Matteo","6"
"2017-M-0255","Omar","6"
"2017-M-0256","Eduard","6"
"2017-M-0257","Zayn","6"
"2017-M-0258","Jayden","6"
"2017-M-0259","Kenny","6"
"2017-M-0260","Rubim","6"
"2017-M-0261","Olavo","6"
"2017-M-0262","Jonatã","6"
"2017-M-0263","Tierri","6"
"2017-M-0264","Bogdan","6"
"2017-M-0265","Kenzo","6"
"2017-M-0266","Aaron","6"
"2017-M-0267","Saulo","6"
"2017-M-0268","Pietro","6"
"2017-M-0269","Kai","6"
"2017-M-0270","Breno","6"
"2017-M-0271","Jair","6"
"2017-M-0272","Helder","6"
"2017-M-0273","Uriel","6"
"2017-M-0274","Luiz","6"
"2017-M-0275","Rayan","5"
"2017-M-0276","Mohammed","5"
"2017-M-0277","Dante","5"
"2017-M-0278","Aiden","5"
"2017-M-0279","Jackson","5"
"2017-M-0280","Fred","5"
"2017-M-0281","Amir","5"
"2017-M-0282","Stephan","5"
"2017-M-0283","Mamadou","5"
"2017-M-0284","Valdemar","5"
"2017-M-0285","Jóni","5"
"2017-M-0286","Evan","5"
"2017-M-0287","Hazael","5"
"2017-M-0288","Fabiano","5"
"2017-M-0289","Ibrahim","5"
"2017-M-0290","Juan","5"
"2017-M-0291","Robert","5"
"2017-M-0292","Michael","5"
"2017-M-0293","Natanael","5"
"2017-M-0294","Aayan","5"
"2017-M-0295","Hélio","5"
"2017-M-0296","Adilson","5"
"2017-M-0297","Éder","5"
"2017-M-0298","Silvestre","5"
"2017-M-0299","Jordan","5"
"2017-M-0300","Tito","5"
"2017-M-0301","Taylor","5"
"2017-M-0302","Logan","5"
"2017-M-0303","Leonard","5"
"2017-M-0304","Júnior","5"
"2017-M-0305","Bento","5"
"2017-M-0306","Kévin","5"
"2017-M-0307","Gui","5"
"2017-M-0308","Aryan","5"
"2017-M-0309","Pablo","5"
"2017-M-0310","Jónatas","5"
"2017-M-0311","Elvis","5"
"2017-M-0312","Joabe","5"
"2017-M-0313","Alonso","4"
"2017-M-0314","Jefferson","4"
"2017-M-0315","Deivid","4"
"2017-M-0316","Darius","4"
"2017-M-0317","Serigne","4"
"2017-M-0318","Eli","4"
"2017-M-0319","Giovanni","4"
"2017-M-0320","Romão","4"
"2017-M-0321","Félix","4"
"2017-M-0322","Daniil","4"
"2017-M-0323","Kaique","4"
"2017-M-0324","Kauã","4"
"2017-M-0325","George","4"
